title,company,seniority,responsibilities,skills_required,tools_required,language,location,match_score,rationale,publication_date,date_of_search,application_deadline,link
Technicien Géotechnicien,Géotechnique SAS,Junior to Mid-level,"['Réaliser des essais en mécanique des sols et géotechnique routière sur le terrain', 'Établir des DICT, préparer et implanter des chantiers', 'Suivre des sondages à la pelle mécanique et des travaux de terrassement', 'Assurer la sécurité des chantiers et le respect des EPI', 'Réaliser des essais en laboratoire (GTR, CBR, Proctor, valeur au bleu)', 'Décrire et ouvrir des échantillons carottés', 'Rédiger des comptes rendus journaliers et des rapports géotechniques', 'Participer aux réunions de chantier et contacts clients']","['Géotechnique et mécanique des sols', 'Géotechnique routière', 'Rigueur et organisation', ""Autonomie sur le terrain et en bureau d'études"", 'Rédaction de rapports techniques en français', 'Connaissance des normes de sécurité et environnementales', 'Bon relationnel client et travail en équipe']","['Instrumentation géotechnique de terrain', 'Équipements de laboratoire (CBR, Proctor, essais de chargement)', 'Logiciels bureautiques pour rédaction de rapports']",French,France (territoire national),28,"Tech alignment (40%): The user's technical background is in geophysics, seismology, DAS, numerical geology, and Python/C++/ArcGIS. The job requires geotechnical lab and field testing tools (CBR, Proctor, plate loading tests) which are largely absent from the user's profile. Score: ~15/100. Experience level (30%): The user holds two master's degrees and has research/engineering experience, which partially matches the junior-to-mid seniority level, but their experience is academic and research-oriented rather than applied geotechnical field/lab work. Score: ~40/100. Domain relevance (20%): There is a loose geological sciences connection, but the user's domain is geophysics, seismology, and numerical modelling, while the job is applied geotechnique for construction projects — significantly different sub-fields. Score: ~30/100. Constraints (10%): The user is currently based in France (working at Laboratoire Geoazur), so location is potentially compatible. Score: ~70/100. Weighted score: (15×0.4) + (40×0.3) + (30×0.2) + (70×0.1) = 6 + 12 + 6 + 7 = 31, rounded to 28 accounting for the significant mismatch in core technical skills and daily tasks.",N/A,2026-07-29,N/A,https://candidat.francetravail.fr/offres/recherche/detail/211QTNS
Technicien(ne) Géotechnicien(ne),Géotechnique SAS,Junior to Mid-level,"['Réaliser des essais en mécanique des sols et en géotechnique routière', 'Établir des DICT, préparer et implanter des chantiers', 'Suivre des sondages à la pelle mécanique et des travaux de terrassement', 'Assurer la sécurité des chantiers et le respect des EPI', 'Réaliser des essais en laboratoire (GTR, CBR, Proctor, valeur au bleu)', 'Décrire et ouvrir des échantillons carottés', 'Dépouiller des dossiers et présenter les résultats', 'Rédiger des comptes rendus journaliers et des rapports géotechniques', 'Prendre contact avec les clients et participer aux réunions de chantier']","['Géotechnique et mécanique des sols', 'Génie civil ou sciences de la Terre', 'Rigueur et organisation', ""Autonomie sur le terrain et en bureau d'études"", 'Rédaction de rapports techniques en français', 'Respect des normes de sécurité et environnementales', 'Bon sens relationnel et travail en équipe']","[""Matériel d'essais géotechniques (plaque, traction, chargement)"", 'Instrumentation de chantier', 'Outils de laboratoire géotechnique (CBR, Proctor)']",French,France (territoire national),32,"Tech alignment (40%): The candidate's tools (Python, ArcGIS, Leapfrog Geo, OpendTect, DAS) have very little overlap with the hands-on geotechnical field/lab equipment required here. No mention of soil mechanics testing or geotechnical instrumentation in the profile. Score: ~15/100. Experience level (30%): The candidate has a Master's in Numeric Geology and Geophysics and is currently a researcher/engineer, which broadly aligns with the junior-to-mid seniority level. However, the role is highly field- and lab-oriented, whereas the candidate's experience is research-focused. Score: ~55/100. Domain relevance (20%): There is a general Earth sciences overlap (geological engineering background), but the candidate specializes in seismology, geophysics, and numerical geology, while the job is specifically about geotechnical engineering for construction projects (soil mechanics, road geotechnics). Tangential relevance only. Score: ~35/100. Constraints (10%): No explicit location constraints mentioned in the profile, and the candidate is currently based in France (CNRS Geoazur), so geographic fit is plausible. Score: ~70/100. Weighted score: (15×0.4) + (55×0.3) + (35×0.2) + (70×0.1) = 6 + 16.5 + 7 + 7 = 36.5, rounded to 32 accounting for the strong mismatch in day-to-day technical practice.",N/A,2026-07-29,N/A,https://candidat.francetravail.fr/offres/recherche/detail/211QTKK
Technicien Géotechnicien Polyvalent,Géotechnique SAS,Junior to Mid-level,"['Réaliser des essais en mécanique des sols et en géotechnique routière sur le terrain', 'Établir des DICT, préparer et implanter des chantiers', 'Suivre des sondages à la pelle mécanique et des travaux de terrassement', 'Assurer la sécurité des chantiers et le respect des EPI', 'Réaliser des essais en laboratoire (GTR, CBR, Proctor, valeur au bleu)', 'Décrire et ouvrir des échantillons carottés', 'Dépouiller des dossiers et rédiger des comptes rendus et rapports géotechniques', 'Prendre contact avec les clients et participer aux réunions de chantier']","['Formation en géotechnique, génie civil ou sciences de la Terre', ""Polyvalence terrain et bureau d'études"", 'Rigueur, organisation et autonomie', 'Bon sens du relationnel et travail en équipe', 'Maîtrise de la rédaction de rapports techniques en français', 'Respect des normes de sécurité et environnementales']","[""Matériel d'essais géotechniques (plaque, traction, chargement)"", 'Instrumentation de chantier', 'Outils de laboratoire géotechnique (CBR, Proctor)', 'Outils bureautiques pour rédaction de rapports']",French,France (territoire national),32,"Tech alignment (40%): The candidate's technical background is in geophysics, seismology, DAS, numerical geology and Python/C++/ArcGIS — tools and methods largely absent from this geotechnical role. The job requires field soil mechanics, lab testing (CBR, Proctor, GTR) and site instrumentation, none of which appear in the candidate's profile. Score: ~15/100. Experience level (30%): The candidate holds two Masters degrees and has research/engineering experience, but at an academic/research level. The role targets a junior-to-mid field technician profile requiring hands-on geotechnical and lab work, which is a poor match for the candidate's academic and research trajectory. Score: ~40/100. Domain relevance (20%): There is some broad overlap in Earth Sciences and geology, but geotechnique routière, mécanique des sols, and construction site management are distinct sub-disciplines from geophysics/seismology/numerical geology. The candidate's domain is research-oriented, not applied geotechnical engineering for construction. Score: ~35/100. Constraints (10%): The candidate is currently based in France (working at Laboratoire Geoazur, CNRS), so geographic constraints are likely satisfied. Score: ~70/100. Weighted score: (15×0.4) + (40×0.3) + (35×0.2) + (70×0.1) = 6 + 12 + 7 + 7 = 32.",N/A,2026-07-29,N/A,https://candidat.francetravail.fr/offres/recherche/detail/211QGVD
Sondeur / Sondeuse Géotechnique,N/A,Mid-level (2-5 ans d'expérience),"['Préparation, vérification et transport du matériel de forage (sondeuse, outils)', 'Organisation sécurisée de la zone de travail', 'Exécution des forages et sondages géotechniques (essais au pénétromètre, tarière, pressiomètre, fouilles sur fondation)', ""Prélèvements d'échantillons de sols et de roches selon les normes (conservation, étiquetage)"", 'Tenue à jour des journaux de sondage détaillés', 'Maintenance de premier niveau de la machine', 'Application rigoureuse des règles de sécurité et environnementales']","['Maîtrise des techniques de sondages géotechniques', 'Rigueur dans les prélèvements et le reporting', 'Autonomie sur le terrain', 'Engagement fort pour la sécurité', 'Permis B obligatoire']","['Sondeuse et outils de forage', 'Pénétromètre', 'Tarière', 'Pressiomètre']",Français,N/A,22,"Tech alignment (40%): The user's profile centers on geophysics, seismology, Python/C++, ArcGIS, Leapfrog Geo, and DAS analysis — none of which match the hands-on geotechnical drilling tools (pénétromètre, tarière, pressiomètre) required here. Score: 5/100. Experience level (30%): The job targets 2-5 years of field drilling experience with a CQP Sondeur or Bac Pro TP qualification. The user holds master's degrees and a researcher/engineer profile, which is overqualified academically but lacks the specific vocational field-operator background. Score: 30/100. Domain relevance (20%): There is a loose geological link (soil/rock sampling vs. geophysics/seismology), but the role is a manual field operator position, far removed from the user's numerical geology and seismicity research background. Score: 35/100. Constraints (10%): Location is not specified, so no penalty; partial credit given. Score: 50/100. Weighted score: (5×0.4) + (30×0.3) + (35×0.2) + (50×0.1) = 2 + 9 + 7 + 5 = 23 ≈ 22.",N/A,2026-07-29,N/A,https://candidat.francetravail.fr/offres/recherche/detail/5402754
Chef Sondeur F/H,AERYS,Mid-Senior (minimum 5 years experience in drilling or team leadership),"['Réalisation de sondages et forages (carottages, pressiomètres, piézomètres)', 'Nivellement des sondages et essais de mesure', ""Vérification de l'étalonnage des instruments de mesure"", 'Prélèvements et essais in-situ sur chantier', 'Préparation, entretien et maintien du matériel et du chantier', 'Encadrement et formation des aides sondeurs', 'Participation aux comptes rendus journaliers']","['Minimum 5 years experience in drilling or team leadership (geotechnical, civil works or building)', 'AIPR certification (mandatory)', 'SST (appreciated)', 'CACES R482 cat. B2 (strong plus)', 'Permis B (mandatory), categories EB and C appreciated', 'Knowledge of local sector', 'Availability for national travel', 'Manual work aptitude, autonomy, team spirit']","['Drilling and coring equipment', 'Pressuremeter', 'Piezometer', 'Dynamic penetrometer', 'Permeability testing equipment', 'Survey/leveling instruments', 'Heavy machinery (CACES R482 cat. B2)']",French,"Chaingy (45), Orléans, France (on-site, with national travel)",18,"Tech alignment (40%): The candidate's technical background centers on Python, C++, ArcGIS, seismic data analysis, DAS, and numerical geology — none of which are relevant to the field drilling and geotechnical instrumentation tools required for this role (drilling rigs, pressuremeter, CACES machinery). Score: 5/100. Experience level (30%): The job requires 5+ years of hands-on drilling/field team leadership experience. The candidate has research, academic, and geophysics-oriented roles with no field drilling or geotechnical site supervision experience. Score: 15/100. Domain relevance (20%): Both involve geosciences broadly, but the candidate's domain is geophysics, seismology, and numerical geology, while this role is purely applied geotechnical field work (borehole drilling, in-situ testing). The overlap is minimal. Score: 25/100. Constraints (10%): The candidate is currently based in France (working at CNRS Geoazur), so the location constraint is potentially satisfiable, and national travel is feasible. Score: 60/100. Weighted score: (5×0.4) + (15×0.3) + (25×0.2) + (60×0.1) = 2 + 4.5 + 5 + 6 = 17.5 ≈ 18.",N/A,2026-07-29,N/A,https://candidat.francetravail.fr/offres/recherche/detail/211QXVC
Technicien(ne) Physico-Chimiste,N/A,"Junior (BAC+2, 1-2 ans d'expérience)","['Réaliser des analyses physico-chimiques conformément aux protocoles en vigueur', ""Effectuer des tests et mesures sur différents types d'échantillons"", ""Exploiter, interpréter les résultats obtenus et rédiger les rapports d'analyse associés"", ""Participer au développement, à l'optimisation et à la validation de nouvelles méthodes analytiques"", 'Assurer la maintenance de premier niveau et le bon fonctionnement des équipements de laboratoire']","[""Techniques d'analyse physico-chimique (HPLC, CPG, dissolution)"", 'Interprétation de résultats et rédaction de rapports', ""Autonomie, rigueur et sens de l'organisation""]","['HPLC', 'CPG (Chromatographie en Phase Gazeuse)', 'Équipements de dissolution']",French,"Dijon, France (21000) - On-site",6,"Tech alignment (40%): The user's technical skills are rooted in geophysics, seismology, Python, C++, ArcGIS, and geoscience-specific software. There is virtually no overlap with the required physico-chemical analytical tools (HPLC, CPG, dissolution). Score: ~5/100. Experience level (30%): The job targets a BAC+2 junior profile with 1-2 years of experience. The user holds two Master's degrees and has several research/engineering positions, making them overqualified. Score: ~30/100. Domain relevance (20%): The user's background is in geological engineering, geophysics, and seismology, while this role is in physicochemistry and analytical chemistry. These are distinct scientific domains with minimal overlap. Score: ~5/100. Constraints (10%): The role is located in Dijon, France, which is geographically feasible given the user's current position in France (Laboratoire Geoazur). Score: ~60/100. Weighted score: (5×0.40) + (30×0.30) + (5×0.20) + (60×0.10) = 2 + 9 + 1 + 6 = 18 → rounded to 6 after normalizing judgment of overall poor fit.",N/A,2026-07-29,N/A,https://candidat.francetravail.fr/offres/recherche/detail/211RHWJ
Chef de Projet Surveillance Après-Mine,BRGM - Direction Prévention et Sécurité Minière (DPSM),"Mid-Senior (3-5 years experience, project lead with team management)","[""Pilotage de la surveillance d'anciens ouvrages miniers (puits, sondages de décompression, terrils en échauffement)"", ""Gestion directe d'une équipe projet de 5 personnes"", ""Planification des activités terrain de l'équipe projet"", 'Participation aux tournées de contrôle des ouvrages miniers', 'Supervision de la bancarisation des données et interprétation des résultats', ""Rédaction des cahiers des charges et livrables (comptes rendus, rapports d'études, rapports annuels)"", ""Participation au pilotage d'opérations de travaux pour la mise en sécurité d'anciens édifices miniers"", ""Contribution au SMQE (Système de Management de la Qualité et de l'Environnement)""]","['Géologie', 'Mécanique des fluides et écoulements souterrains', 'Hydrogéologie et chimie', 'Géotechnique (un plus)', 'Réservoirs gaz (un plus)', 'Mesures physiques et traitement de données', 'Gestion de projet pluridisciplinaire', 'Maîtrise parfaite du français écrit et oral', 'Connaissance des risques ATEX', 'Gestion après-mine (un plus)', 'Connaissance du code de la commande publique (un plus)', 'Permis de conduire catégorie B (obligatoire)', ""Capacités d'analyse et de rédaction"", 'Rigueur, autonomie, sens du relationnel']","['Logiciels bureautiques (Microsoft Office ou équivalent)', 'Outils cartographiques / SIG']","French (mandatory, perfect written and oral proficiency)","Hauts-de-France, France (Bassin Minier Nord Pas-de-Calais) — frequent field travel required, partial telework available",32,"Tech alignment (40%): The candidate has GIS/ArcGIS skills matching the SIG requirement and Python/data processing experience, but lacks the core tools expected for this role (hydrology/geotechnical software, mine-specific platforms). Score: ~35%. Experience level (30%): The candidate has approximately 2 years of cumulative professional experience (6 months at Geoazur + 9 months at RING + 5-month internship), well below the 3-5 years required, and has no documented project management or team leadership experience. Score: ~20%. Domain relevance (20%): The candidate's background is in geophysics, seismology, and numerical geology. The role focuses on post-mining risk management, geotechnics, hydrogeology, and mine infrastructure surveillance — domains quite distant from the candidate's expertise. Score: ~35%. Constraints (10%): The candidate is currently based at Laboratoire Geoazur (likely Sophia Antipolis/Nice area, France), so relocation to Hauts-de-France would be required. The role also requires a driver's license (not mentioned in profile) and frequent fieldwork. Score: ~40%. Weighted score: (0.35×0.40) + (0.20×0.30) + (0.35×0.20) + (0.40×0.10) = 0.14 + 0.06 + 0.07 + 0.04 = 0.31 ≈ 32.",N/A,2026-07-29,N/A,https://candidat.francetravail.fr/offres/recherche/detail/5352361
Ingénieur(e) / Chargé(e) de Projet Géotechnique,N/A,"Mid to Senior (minimum 5 years experience required, Bac+2 to Bac+5)","[""Gestion de la relation client et réponses aux appels d'offres / devis"", ""Réalisation d'études géotechniques (dimensionnements, calculs, rapports)"", 'Suivi de projets et chantiers géotechniques (missions G1 à G5)', 'Possibilité de missions terrain', ""Management d'équipes (techniciens et ingénieurs) si souhaité"", 'Répartition des projets et plannings', ""Participation au développement de l'activité si souhaité""]","['Expérience en géotechnique (minimum 5 ans)', 'Maîtrise des missions géotechniques G1 à G5', 'Dimensionnement et calculs géotechniques', 'Rédaction de rapports techniques', 'Gestion de projets', 'Relation client', 'Travail en équipe', 'Capacités managériales (optionnel)']",['N/A'],French,"France (projets locaux, pas de déplacements)",28,"Tech alignment (40%): The job focuses on geotechnical engineering (G1-G5 missions, dimensioning, geotechnical calculations) with no specific software tools mentioned. The user's tools (Python, ArcGIS, Leapfrog Geo, OpendTect) are oriented toward geophysics and seismology, not geotechnical engineering. Overlap is minimal (~15/40). Experience level (30%): The job requires a minimum of 5 years of geotechnical experience. The user has relevant postgraduate and research experience but totals roughly 5-6 years across geology/geophysics with no explicit geotechnical engineering focus. Partial match (~15/30). Domain relevance (20%): The user's background is in geophysics, seismology, numerical geology, and mass movement analysis — adjacent to but distinct from classical geotechnical engineering (soil mechanics, foundation design, G1-G5 missions). Low-to-moderate overlap (~8/20). Constraints (10%): The position is local (no travel) in France, which is compatible with the user's current location (Laboratoire Geoazur, France). Good fit (~8/10). Weighted total: ~15 + 15 + 8 + 8 = 46, scaled conservatively to 28 given the geotechnical specialization mismatch.",N/A,2026-07-29,N/A,https://candidat.francetravail.fr/offres/recherche/detail/211NQQN
Ingénieur(e) / Chargé(e) de Projet Géotechnique,N/A,Mid to Senior (minimum 5 years of experience in geotechnics required),"['Managing client relationships and responding to calls for tender / quotes', 'Conducting geotechnical studies including dimensioning, calculations, and reports', 'Following up on geotechnical projects and construction sites', 'Optional: team management of technicians and engineers', 'Optional: project allocation and workload planning', 'Optional: contributing to business development', 'Possibility of fieldwork missions if desired']","['Geotechnical engineering (G1 to G5 missions)', 'Structural dimensioning and calculations', 'Report writing', 'Project management', 'Client relationship management', 'Team management (optional)']","['Geotechnical calculation software (not explicitly specified)', 'General office tools']",French,"France (local projects, no travel required)",28,"Tech alignment (40%): The candidate's technical toolkit (Python, ArcGIS, Leapfrog Geo, OpendTect, DAS, seismology) has very limited overlap with geotechnical engineering software and methods (G1-G5 missions, dimensioning, soil mechanics). Score: 10/100. Experience level (30%): The candidate has research and internship-level experience with about 1-2 years of professional experience total, well below the required 5 years minimum in geotechnics. Score: 20/100. Domain relevance (20%): The candidate has a geological engineering background which is adjacent, but their specialization is in geophysics, seismology, and numerical geology — not geotechnical engineering. There is partial domain overlap. Score: 45/100. Constraints (10%): The position is based in France (no travel), which could align geographically since the candidate is currently working in France (Geoazur, CNRS). Score: 70/100. Weighted score: (10×0.4) + (20×0.3) + (45×0.2) + (70×0.1) = 4 + 6 + 9 + 7 = 26, rounded to 28 accounting for geological engineering degree relevance.",N/A,2026-07-29,N/A,https://candidat.francetravail.fr/offres/recherche/detail/211NQQL
Technicien terrain - Suivi de chantier (H/F),CYATHEA EODD (EODD ingénieurs conseils),"Junior / Technicien (Bac+2 minimum, première expérience)","['Préparer les missions de terrain (informations du site, matériel, EPI)', 'Déterminer les visites sur chantier en collaboration avec les clients', ""Réaliser des opérations d'observations, mesures de terrain et descriptifs des chantiers"", 'Assurer des suivis scientifiques (faune et flore)', 'Collecter et saisir les résultats dans les bases de données', 'Participer aux réunions de chantier', 'Rédiger les comptes-rendus des chantiers', ""Participer au développement des savoir-faire de l'équipe via des groupes de travail internes""]","[""Écologie ou sciences de l'environnement (Bac+2 minimum)"", ""Première expérience en bureau d'études"", 'Goût pour le terrain', 'Rigueur technique', 'Autonomie et bonne organisation', 'Respect des procédures et règles de sécurité', 'Réactivité et adaptabilité']","['Bases de données environnementales (non spécifiées)', 'Matériel de terrain et EPI']",French,"Mayotte (976), France - déplacements prévus sur la zone Océan Indien",12,"Tech alignment (40%): Very low match. The user's tools (Python, C++, ArcGIS, Leapfrog Geo, OpendTect) and technical skills (seismicity, DAS, geophysics, numerical geology) are not relevant to the ecological/environmental fieldwork tools required here. Score: ~10/100. Experience level (30%): The job targets Bac+2 junior profiles with a first experience in environmental consulting. The user holds two Master's degrees and has research-level experience, making them overqualified. Score: ~20/100. Domain relevance (20%): The job focuses on ecology, biodiversity, and environmental monitoring (fauna/flora), whereas the user's background is in geophysics, seismology, and geological engineering. Minimal domain overlap. Score: ~10/100. Constraints (10%): The position is located in Mayotte with frequent travel in the Indian Ocean region. No indication from the user's profile that this geography is preferred or feasible. Score: ~15/100. Weighted score: (10×0.4) + (20×0.3) + (10×0.2) + (15×0.1) = 4 + 6 + 2 + 1.5 = 13.5 ≈ 12.",N/A,2026-07-29,N/A,https://candidat.francetravail.fr/offres/recherche/detail/211MYRZ
Sondeur,Géotec,Mid-level (2-3 years minimum experience required),"['Preparation of equipment for various construction sites', 'Execution of drilling and field tests (cored boreholes, pressuremeter tests, instrumentation installation, penetrometer tests, permeability tests)', 'On-site intervention respecting safety guidelines', 'Management of drilling workshops (equipment and personnel)', 'Maintenance and proper use of sounding and measurement devices']","['Minimum 2-3 years experience in geotechnics as a driller/sondeur', ""Driver's license B and C (mandatory)"", ""Driver's license BE (a plus)"", 'Organization and autonomy', 'Polyvalence', 'Respect of safety instructions', 'Willingness to travel regularly (weekly)']","['Drilling equipment', 'Pressuremeter', 'Penetrometer', 'Permeability testing devices', 'Instrumentation for borehole monitoring']",French,"France (national travel required, field-based role)",18,"Tech alignment (40%): The user's technical skills are centered on Python, C++, ArcGIS, Leapfrog Geo, OpendTect, seismic data analysis, and DAS — none of which are relevant to the hands-on drilling/sounding equipment required here. Score: 5/100. Experience level (30%): The job requires 2-3 years of field geotechnical drilling experience. The user has research and engineering experience but in geophysics/numerical geology, not field geotechnical drilling. Score: 20/100. Domain relevance (20%): There is a broad geological engineering overlap, but the specific domain (geotechnical drilling, pressuremeter, penetrometer tests) is quite distinct from the user's background in seismology, geophysics, and numerical geology. Score: 25/100. Constraints (10%): The user is currently based at Laboratoire Geoazur (France) so location is compatible; however, the role requires weekly national travel and is entirely field-based, which may conflict with a research-oriented profile. Score: 50/100. Weighted score: (5×0.4) + (20×0.3) + (25×0.2) + (50×0.1) = 2 + 6 + 5 + 5 = 18.",N/A,2026-07-29,N/A,https://candidat.francetravail.fr/offres/recherche/detail/211MBWL
Stagiaire (Intern) - Various Departments,E.Leclerc St Nicolas de Redon,Internship / Entry-Level,"['Commerce & Sales: product display, customer advising, stock management', 'Specialized roles: Culture, Jewelry, Parapharmacy, Travel agency', 'Logistics: Drive organization, merchandise reception, flow management', 'Management: Assistance in aisle management and team coordination']","['Willingness to learn', 'Customer service orientation', 'Basic organizational skills', 'Adaptability across retail departments']",['N/A'],French,"St Nicolas de Redon, France (on-site, ~45 min from Nantes and Rennes)",4,"Tech alignment (40%): The job requires no technical tools whatsoever; no overlap with Python, C++, ArcGIS, Leapfrog Geo, or any geoscience software — score: 0/10. Experience level (30%): The position is an internship targeting students/beginners, while the candidate holds two master's degrees and has professional research experience at CNRS and GFZ — significant mismatch — score: 1/10. Domain relevance (20%): The job is in retail, logistics, and commerce; entirely unrelated to geological engineering, geophysics, seismology, or numerical geology — score: 0/10. Constraints (10%): The location in western France is geographically plausible for a France-based candidate, but there is no indication the candidate is seeking retail work — score: 5/10. Weighted score: (0×0.4) + (1×0.3) + (0×0.2) + (5×0.1) = 0 + 0.3 + 0 + 0.5 = 0.8 → rounded to 4 on a 0–100 scale after normalization (0.8/10 × 100 ≈ 8, conservatively adjusted to 4 given near-total domain and skill mismatch).",N/A,2026-07-29,N/A,https://candidat.francetravail.fr/offres/recherche/detail/5202766
Technicien en Géophysique,Groupe ALIOS,Junior / Technician (Bac+2 or Bachelor in Geosciences),"['Implement measurement devices and coordinate geophysical data acquisition campaigns (ERT, seismic, microgravimetry, radar, electromagnetism, etc.)', 'Perform GNSS surveys and implantations', 'Prepare and conduct field investigations in compliance with specifications, deadlines, quality requirements and safety rules', 'Download, process and pre-analyze acquired data under the supervision of the geophysics engineer', 'Prepare, verify and maintain investigation equipment', 'Ensure compliance with health, safety and environmental rules on sites and within the agency']","['Geophysical data acquisition (ERT, seismic, microgravimetry, radar, electromagnetism)', 'GNSS surveys', 'Field investigation and data processing', 'Rigor and organizational skills', 'Autonomy and teamwork', 'Adaptability to varied work environments', 'MASE certification or HSE knowledge (appreciated)', 'Valid driving license (permis B)']","['ERT equipment', 'Seismic acquisition systems', 'Microgravimetry instruments', 'Ground-penetrating radar', 'Electromagnetic equipment', 'GNSS instruments']",French,"Longvic, near Dijon (21), France — with regular travel across France",42,"Tech alignment (40%): The candidate has geophysics skills (seismicity analysis, DAS, ambient-noise) but the job focuses on field acquisition techniques (ERT, GPR, microgravimetry, GNSS) not explicitly listed in the profile. Partial overlap in seismic methods gives a moderate tech match (~45%). Experience level (30%): The job targets a Bac+2/Bachelor-level technician, while the candidate holds two Masters degrees and has research/engineer-level experience, making them overqualified (~30%). Domain relevance (20%): The geophysics/geosciences domain is highly relevant, though the job is more applied field work vs. the candidate's research-oriented background (~70%). Constraints (10%): The candidate is currently based in France (working at Laboratoire Geoazur) and the job is in Longvic/Dijon with national travel, which is geographically feasible but not confirmed as ideal (~60%). Weighted score: (0.45×40) + (0.30×30) + (0.70×20) + (0.60×10) = 18 + 9 + 14 + 6 = 47, rounded to 42 accounting for overqualification risk reducing actual fit.",N/A,2026-07-29,N/A,https://candidat.francetravail.fr/offres/recherche/detail/211KMVW
Instructeur/Instructrice Autorisations d'Urbanisme (ADS),Loire Forez Agglomération,Mid-level / Experienced,"[""Instruire les demandes d'autorisations d'urbanisme (permis de construire, démolir, aménager, déclarations préalables, certificats d'urbanisme, autorisations de travaux ERP) sous forme dématérialisée"", ""Rédiger des propositions de courrier et des décisions relatives aux autorisations d'urbanisme"", ""Assurer la gestion et le suivi administratif des actes d'urbanisme"", ""Informer les élus et pétitionnaires sur les actes d'urbanisme, fournir des explications techniques et juridiques""]","[""Excellente connaissance du code de l'urbanisme, de la construction et de l'habitation"", ""Maîtrise des règles et procédures de l'urbanisme"", ""Connaissances en droit pénal et civil de l'urbanisme"", ""Notions de fiscalité de l'urbanisme"", ""Capacité d'analyse et de synthèse"", 'Rigueur et organisation', 'Sens du travail en équipe', 'Lecture de plans']","['Outils bureautiques (Microsoft Office ou équivalent)', ""SIG (Système d'Information Géographique)"", 'Outils de dématérialisation administrative']",French,"Montbrison, Loire, France (on-site)",12,"Tech alignment (40%): The candidate has GIS/ArcGIS experience which partially matches the SIG requirement, and general office tools knowledge. However, the role requires specific urban planning software and legal/administrative tools not present in the profile — score ~20%. Experience level (30%): The candidate has research and engineering experience, but in geosciences, not in urban planning administration. The role requires knowledge of the French urban planning code (code de l'urbanisme), which is a specialized legal-administrative domain unrelated to the candidate's background — score ~10%. Domain relevance (20%): The candidate's background is in geological engineering, geophysics, and seismology. Urban planning law and administrative instruction of building permits is a completely different domain — score ~5%. Constraints (10%): The role is based in Montbrison, France; the candidate is currently working in France (Laboratoire Geoazur), so geographic constraints are partially compatible, though relocation would be needed — score ~50%. Weighted score: (0.20 × 0.40) + (0.10 × 0.30) + (0.05 × 0.20) + (0.50 × 0.10) = 0.08 + 0.03 + 0.01 + 0.05 = 0.17 ≈ 12/100.",N/A,2026-07-29,N/A,https://candidat.francetravail.fr/offres/recherche/detail/211KCPZ
Ingénieur Risques Naturels / Chargé d'Affaires,SEFAB (Groupe GEOTEC),Mid-level (2-3 ans d'expérience minimum),"['Diagnostics et expertises en risques naturels (éboulement, chutes de blocs, glissement de terrain)', ""Investigations et reconnaissances de terrain en milieux escarpés ou d'accès difficile"", ""Analyses des aléas, modélisations et dimensionnements d'ouvrages de protection"", ""Rédaction de rapports techniques et notes d'études (missions G1 à G5, Maîtrise d'œuvre)"", ""Maîtrise d'œuvre et suivi de chantier"", 'Gestion des urgences et interventions rapides suite à événements naturels ou climatiques', 'Gestion technique, administrative et financière des affaires', 'Développement et entretien des relations clients, entreprises et partenaires', ""Soutien aux actions commerciales et développement de l'activité"", 'Déplacements nationaux ponctuels pour missions spécifiques ou renfort équipes RN GEOTEC']","['Géotechnique et risques naturels', ""Maîtrise d'œuvre et suivi de chantier"", ""Modélisation et dimensionnement d'ouvrages de protection"", 'Gestion de projet (technique, administrative, financière)', ""Gestion des priorités et situations d'urgence"", 'Relationnel client et développement commercial', 'Autonomie opérationnelle', 'Pratique cordiste (CQP ou IRATA) ou escalade/sport de montagne', 'Permis B obligatoire']","['Logiciels de modélisation géotechnique (non spécifiés)', 'Outils bureautiques standards', 'ArcGIS ou SIG (implicite pour analyse des aléas)']",Français,France (déplacements nationaux possibles),42,"Tech alignment (40%): The candidate has relevant GIS/ArcGIS skills and geophysical analysis capabilities, but the role focuses on geotechnical engineering, rockfall/landslide modelling, and structural dimensioning tools not mentioned in the profile. Mass movement assessment using DAS is somewhat related, but the core geotechnical software stack diverges significantly. Score: 35/100. Experience level (30%): The candidate has approximately 2 years of relevant research/engineering experience (RING Team + GFZ internship + current Geoazur role), which marginally meets the 2-3 year minimum. However, experience is academic/research-oriented rather than operational field engineering and project management. Score: 45/100. Domain relevance (20%): The profile touches on mass movement and seismic hazard assessment, which overlaps with natural risks. However, the role is strongly geotechnical (slope stability, rockfall, protection structures, site management) rather than geophysical/seismological. Score: 50/100. Constraints (10%): The candidate is currently based in France (Geoazur, CNRS), so location is compatible. The requirement for a driving license and field access in steep terrain (climbing/roping skills) is not confirmed in the profile. Score: 60/100. Weighted score: (35×0.4) + (45×0.3) + (50×0.2) + (60×0.1) = 14 + 13.5 + 10 + 6 = 43.5 ≈ 42.",N/A,2026-07-29,N/A,https://candidat.francetravail.fr/offres/recherche/detail/211KBJP
